product_id,name,category,duration_minutes,stress_target,effectiveness,description,tags,price
A033,Volunteer Community Work,Social,120,depression,high,Helping others creates purpose and meaning which strongly counteracts depression,volunteer community depression purpose meaning helping others give,120
A034,Family Game Night,Social,90,depression,moderate,Light-hearted family bonding through play to reduce isolation and naturally boost mood,family game play depression bonding isolation mood fun laughter,90
A035,Join a Club or Group,Social,90,depression,moderate,Structured social activity with shared interests to build belonging and reduce loneliness,club group social depression belonging interest community join,90
A036,Coffee Chat with Colleague,Social,30,stress,moderate,Casual workplace social interaction helps process daily stress and build resilience,social work colleague stress casual chat connection resilience workplace,30
A037,Attend a Social Event,Social,120,depression,moderate,Social engagement and new experiences actively combat isolation and depressive withdrawal,social event depression isolation engagement experience new community,120
A038,Online Community Forum,Social,30,depression,low,Virtual connection through shared interest communities for accessible mild social support,online forum community depression virtual connection social support mild,30
A039,Power Nap (20 min),Rest,20,stress,high,Short restorative nap proven to reduce cortisol levels and restore cognitive function,nap sleep stress cortisol rest restore cognitive short recovery power,20
A040,Digital Detox Hour,Rest,60,stress,high,Screen-free time breaks the chronic stress feedback loop of constant digital stimulation,digital detox screen stress break phone offline rest calm unplug,60
A041,Reading Fiction,Rest,45,anxiety,moderate,Engaging fiction provides cognitive escape and has been shown to reduce anxiety by 68%,reading fiction anxiety escape cognitive rest relaxation calm immerse,45
A042,Hot Bath / Shower Relaxation,Rest,20,stress,high,Warm water lowers cortisol prepares the body for rest and powerfully reduces stress,bath shower warm water stress cortisol relax rest recovery soak,20
A043,Forest Bathing,Rest,60,anxiety,high,Shinrin-yoku lowers cortisol blood pressure and anxiety through deep nature immersion,forest bathing nature anxiety cortisol blood pressure shinrin calm trees,60
A044,Aromatherapy Session,Rest,20,anxiety,moderate,Lavender and chamomile scents activate the relaxation response to reduce anxiety,aromatherapy lavender chamomile anxiety relax scent calm sensory oils,20
A045,Gentle Stretching Before Bed,Rest,15,stress,moderate,Light evening stretching signals the body to wind down and improves sleep quality,stretching evening sleep stress wind down bedtime gentle slow,15
A046,Sleep Hygiene Routine,Rest,30,stress,high,Consistent pre-sleep routine regulates circadian rhythm and reduces stress-induced insomnia,sleep hygiene routine stress insomnia circadian bedtime consistent wind,30
A047,CBT Journaling,Cognitive,30,depression,high,Cognitive behavioral journaling to identify and challenge negative automatic thoughts,cbt journaling depression cognitive behavioral negative thoughts challenge,30
A048,Problem-Solving Workshop,Cognitive,45,stress,moderate,Structured problem-solving technique to reduce helplessness and cognitive overwhelm,problem solving stress helpless overwhelm technique structured step,45
A049,Time Management Planning,Cognitive,30,stress,moderate,Prioritization and time-blocking techniques to reduce overwhelm and restore control,time management stress schedule priority planning overwhelm control,30
A050,Positive Affirmations,Cognitive,10,depression,moderate,Daily positive self-statements to counter negative self-talk and improve self-worth,affirmations depression positive self-talk worth daily mindset belief,10
A051,Worry Time Scheduling,Cognitive,20,anxiety,high,Contain anxiety by scheduling a specific daily worry window to break chronic rumination,worry anxiety rumination schedule contain limit cbt technique window,20
A052,Thought Record Exercise,Cognitive,30,anxiety,high,Identify and restructure catastrophic thinking patterns that drive chronic anxiety,thought record anxiety catastrophic thinking cbt restructure pattern,30
A053,Values Clarification,Cognitive,45,depression,moderate,Identify core personal values to restore sense of meaning purpose and life direction,values depression meaning purpose direction life clarity core,45
A054,Behavioral Activation,Cognitive,30,depression,high,Schedule rewarding activities to systematically break the inactivity-depression cycle,behavioral activation depression activity schedule reward cycle break,30
A055,Goal Setting Session,Cognitive,45,all,moderate,SMART goal setting to rebuild motivation confidence and sense of accomplishment,goal setting smart motivation confidence accomplishment all rebuild,45
A056,Self-Compassion Exercise,Cognitive,20,depression,high,Practice treating yourself with the same kindness you would offer a struggling friend,self compassion depression kindness inner critic mindfulness friend,20
A057,Healthy Meal Prep,Lifestyle,60,all,moderate,Prepare nutritious meals to support brain chemistry and stabilize mood through nutrition,nutrition meal prep health mood brain chemistry lifestyle all omega,60
A058,Herbal Tea Ritual,Lifestyle,15,anxiety,moderate,Chamomile or passionflower tea ritual to calm the nervous system and prepare for rest,herbal tea chamomile anxiety nervous system calm ritual bedtime plant,15
A059,Sunlight Exposure Walk,Lifestyle,20,depression,high,Morning sunlight regulates serotonin and melatonin production fighting seasonal depression,sunlight morning depression serotonin melatonin seasonal light vitamin,20
A060,Free-Form Journaling,Lifestyle,20,all,moderate,Unstructured expressive writing to process thoughts emotions and daily experiences,journaling writing emotion thoughts expression daily all process free,20
